date,location_key,truth_value,cumulative_deceased_age_0,cumulative_deceased_age_5,cumulative_deceased_age_4,cumulative_confirmed_male,cumulative_confirmed_female,new_confirmed,cumulative_confirmed,cumulative_deceased,new_deceased,search_trends_hypoxemia,search_trends_phlegm,search_trends_pneumonia,search_trends_common_cold,search_trends_nasal_congestion,search_trends_cough,new_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,cumulative_hospitalized_patients,cumulative_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_janssen,cumulative_persons_fully_vaccinated_pfizer,cumulative_vaccine_doses_administered,cumulative_persons_fully_vaccinated_janssen,cumulative_persons_vaccinated,cumulative_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated,average_temperature_celsius,dew_point,mobility_workplaces,search_trends_pain,search_trends_infection,stringency_index,vaccination_policy
2020-04-11,US_AL,1630,,,,,,223.0,3191.0,91.0,11.0,0.34,0.81,1.44,14.12,1.71,5.29,34.0,343.0,,402.0,,,,,,,,,,11.816667,1.746032,-29.0,33.42,26.16,79.63,0.0
2020-04-11,US_AK,86,,,,,,15.0,272.0,9.0,0.0,0.77,0.63,1.23,12.28,1.3,4.88,0.0,,,33.0,,,,,,,,,,-1.966667,-8.923611,-32.0,33.37,28.07,90.74,0.0
2020-04-11,US_AZ,1374,,,,,,281.0,3393.0,108.0,11.0,0.29,0.74,1.57,13.71,1.56,5.27,42.0,,,1037.0,,,,,,,,,,12.9,-0.877778,-36.0,32.93,26.87,67.59,0.0
2020-04-11,US_AR,485,,,,,,55.0,1226.0,24.0,1.0,0.28,0.73,1.38,12.36,1.48,4.58,0.0,86.0,,130.0,,,,,,,,,,11.487654,4.598765,-26.0,31.8,24.71,69.44,0.0
2020-04-11,US_CA,8625,,,,,,1143.0,20615.0,609.0,68.0,0.34,0.82,1.52,13.72,1.42,5.28,0.0,5236.0,1591.0,,,,,,,,,,,14.765432,10.0,-40.0,32.98,26.86,82.41,0.0
2020-04-11,US_CO,2319,0.0,15.0,11.0,,,383.0,6893.0,274.0,24.0,0.48,0.69,1.33,12.22,1.41,4.44,64.0,822.0,,1376.0,,,,,,,,,,6.777778,-12.08642,-40.0,27.55,22.66,82.41,0.0
2020-04-11,US_CT,6234,1.0,19.0,11.0,,,972.0,11510.0,494.0,46.0,0.49,0.82,1.57,14.87,1.54,5.47,0.0,1593.0,,,,,,,,,,,,7.088889,-5.229167,-40.0,31.84,26.92,78.7,0.0
2020-04-11,US_DE,886,0.0,38.0,5.0,715.0,911.0,137.0,1627.0,37.0,7.0,0.22,0.69,1.25,12.72,1.16,4.83,0.0,190.0,,,,,,,,,,,,8.756944,-4.044444,-37.0,26.74,22.05,84.26,0.0
2020-04-11,US_DC,876,,,,,,97.0,1875.0,47.0,9.0,0.43,0.98,1.68,13.95,2.02,5.32,0.0,,,,,,,,,,,,,8.375,-4.134921,,29.34,25.14,87.04,0.0
2020-04-11,US_FL,7441,0.0,17.0,12.0,,,1088.0,17340.0,438.0,48.0,0.36,0.92,1.6,14.11,1.52,5.51,174.0,,,2661.0,,,,,,,,,,22.283951,14.388889,-40.0,34.26,28.38,81.94,0.0
